db_id	protein_name
toxin_T10059	yqcG
toxin_T1006	parE_1
toxin_T10060	ywqJ
toxin_T10061	yokI
toxin_T10062	yobL
toxin_T10063	higB
toxin_T10064	ccdB
toxin_T10065	doc
toxin_T10066	dhiT
toxin_T10067	mazF
toxin_T10068	Derived
toxin_T10069	mazF
toxin_T10070	yafQ
toxin_T10071	ToxN
toxin_T10072	yoeB
toxin_T10073	mazF
toxin_T10074	Hha
toxin_T10075	HipA2
toxin_T10076	HipA3
toxin_T10077	yoeB
toxin_T10079	PrpT
toxin_T1008	parE_1
toxin_T10080	type I toxin
toxin_T10081	type I toxin
toxin_T10082	uncharacterized toxin (C. difficile)
toxin_T10083	uncharacterized toxin (C. difficile)
toxin_T10085	uncharacterized toxin (H. pylori)
toxin_T10086	timP
toxin_T10087	ryfA
toxin_T10088	TfiT
toxin_T10089	VapD
toxin_T10090	mazF
toxin_T10091	IrrE
toxin_T10092	IrrE
toxin_T10093	doc
toxin_T10095	relE
toxin_T10096	mazF
toxin_T10097	PumA
toxin_T10098	hipA
toxin_T10099	ccdB
toxin_T101	mazF
toxin_T10100	PfiT
toxin_T10101	mazF
toxin_T10102	slvT
toxin_T10103	SymE
toxin_T10104	HipA1
toxin_T10105	Rhs
toxin_T10106	hipA
toxin_T10107	Derived
toxin_T10108	yafQ
toxin_T10109	yafQ
toxin_T10111	yafQ
toxin_T10112	yafQ
toxin_T10113	uncharacterized toxin (H. pylori)
toxin_T10114	TsaT
toxin_T10116	TscT
toxin_T10117	TsdT
toxin_T10118	EcnB
toxin_T10119	parE
toxin_T10120	KacT
toxin_T10121	HipT
toxin_T10122	hicA
toxin_T10123	relE
toxin_T10124	Hok
toxin_T10128	CbtA
toxin_T10129	VapC1
toxin_T10131	mazF
toxin_T10132	hicA
toxin_T10133	higB
toxin_T10134	NpoT
toxin_T10136	relE
toxin_T10137	relE
toxin_T10138	vapC
toxin_T10139	relE
toxin_T10140	mazF
toxin_T10141	relE
toxin_T10142	relE
toxin_T10143	relE
toxin_T10144	pezT
toxin_T10145	ParT
toxin_T10146	pepG1
toxin_T10147	Derived
toxin_T10148	uncharacterized toxin (S. aureus)
toxin_T10149	Fst
toxin_T10150	hicA
toxin_T10151	TsxA
toxin_T10153	higB
toxin_T10154	pepG1
toxin_T10155	Fst
toxin_T10156	N-acetylmuramoyl-L-alanine amidase
toxin_T10157	relE
toxin_T10158	relE
toxin_T10159	parE
toxin_T10160	pemK
toxin_T10161	higB
toxin_T10162	mazF
toxin_T10163	parE
toxin_T10164	smuT
toxin_T10166	relE
toxin_T10167	ORF9
toxin_T10168	hicA
toxin_T10169	higB
toxin_T10170	ng_zeta1
toxin_T10171	type I toxin
toxin_T10172	type I toxin
toxin_T10174	type I toxin
toxin_T10175	type I toxin
